"Round","Platform","Date","Time of Day","Audience Name","Audience Gender","Audience Age Range","Audience Interests","Post Type","Post","Promo or Non-Promo","Cost","Impressions","Engagements","Shares","Clicks","CTR","CPC","Conversions","Revenue"
"3","Facebook","Sun 29 Oct","3:00 PM","","all","13-40","halloween,candy,backpack,black,orange,shopping","Holiday advertisement","Get the perfect bag to hold all your Halloween candy #halloween #bag #candy","Promo","$131.00","11,804","102","83","218","1.85%","$0.60","18","$714.00"
"3","Facebook","Sat 28 Oct","9:00 AM","","all","13-70","","Image","Tell us what your doing this weekend! #travel #weekend #fun","Promo","$0.00","11,434","92","105","118","1.03%","$0.00","0","$0.00"
"3","Facebook","Fri 27 Oct","6:00 PM","","all","13-70","","Video","See what it's like to travel the city with a BUHI bag #travel #city #video #friday","Promo","$0.00","33,052","219","253","276","0.84%","$0.00","15","$1502.00"
"3","Facebook","Wed 25 Oct","5:00 PM","","all","13-70","","Image","You always look good with a BUHI bag so get one today! #lookingood #bag","Promo","$0.00","8,721","72","74","92","1.05%","$0.00","18","$734.00"
"3","Facebook","Mon 23 Oct","11:00 AM","","all","13-70","halloween,backpacks,bags","Meme","Halloween is coming up, you don't want to miss out on our new Halloween BUHI bags! #halloween #bags #backpacks","Non-Promo","$215.00","44,565","89","1,801","358","0.80%","$0.60","1","$31.00"
"1","Facebook","Sun 22 Oct","9:00 AM","","all","13-70","","Video","See why people in Scotland LOVE BUHI bags #Scotland","Promo","$0.00","49,739","582","694","743","1.49%","$0.00","42","$840.00"
"1","Facebook","Sun 22 Oct","3:00 PM","","all","15-30","stars,adventures,stargazing","Image","Go stargazing with this cool backpack #stars #nightsky #stargazing","Promo","$183.00","23,925","203","202","305","1.27%","$0.60","0","$0.00"
"1","Facebook","Sat 21 Oct","2:00 PM","","all","13-70","","Image","Be ready for anything with a BUHI bag #readyornot","Promo","$0.00","23,593","188","207","236","1.00%","$0.00","21","$421.00"
"1","Facebook","Fri 20 Oct","4:00 PM","","all","13-70","","Image","What did you pack for your weekend adventures? #weekend #adventures","Promo","$0.00","6,375","42","22","64","1.00%","$0.00","22","$873.00"
"1","Facebook","Fri 20 Oct","8:00 AM","","all","13-70","","Video","Roam the city in BUHI style #BUHI #style","Promo","$0.00","52,626","361","406","445","0.85%","$0.00","21","$2088.00"
"1","Facebook","Thu 19 Oct","2:00 PM","","all","18-25","gym,working out","Image","The perfect bag for a day at the gym. Get yours NOW #nodaysoff #workout","Promo","$301.00","50,537","479","466","533","1.05%","$0.56","67","$1346.00"
"1","Facebook","Wed 18 Oct","8:00 AM","","all","13-70","","Image","Wait for nothing, go out and adventure! #adventure #nowait","Promo","$0.00","37,710","332","396","420","1.11%","$0.00","22","$880.00"
